id,price,currency,qty
"НС-1037539","24490","руб.","99"
"НС-1037540","29490","руб.","99"
"НС-1063169","32490","руб.","99"
"НС-1063180","35490","руб.","99"
"НС-1121758","16990","руб.","99"
"НС-1121759","18990","руб.","99"
"НС-1121760","21990","руб.","99"
"НС-1124220","29990","руб.","99"
"НС-1124221","35990","руб.","99"
"НС-1124222","41990","руб.","99"
"НС-1018943","15490","руб.","99"
"НС-1018945","17490","руб.","99"
"НС-1018946","350","$","99"
"НС-1018940","13990","руб.","99"
"НС-1018941","15990","руб.","99"
"НС-1018942","18990","руб.","99"
"НС-0023820","380","$","99"
"НС-0023821","450","$","99"
"НС-0023819","490","$","99"
"НС-1121525","18900","руб.","99"
"НС-1121530","20900","руб.","99"
"НС-1121531","27000","руб.","99"
"НС-1121534","42500","руб.","99"
"НС-1121535","54000","руб.","99"
"НС-1122601","16900","руб.","99"
"НС-1122602","18500","руб.","99"
"НС-1122604","23900","руб.","99"
"НС-1122608","38900","руб.","99"
"НС-1122611","48900","руб.","99"
"НС-1122612","66500","руб.","99"
"НС-1065377","14990","руб.","99"
"НС-1065376","15990","руб.","99"
"НС-1065375","21990","руб.","99"
"НС-1065374","33490","руб.","99"
"НС-1065373","41990","руб.","99"
"НС-1088222","55990","руб.","99"
"НС-1065397","195","$","99"
"НС-1065399","213.75","$","99"
"НС-1065401","262.5","$","99"
"НС-1065400","412.5","$","99"
"НС-1065398","513.75","$","99"
"НС-1065360","65","$","99"
"НС-1065391","71.25","$","99"
"НС-1065392","87.5","$","99"
"НС-1065395","137.5","$","99"
"НС-1065396","171.25","$","99"
"НС-1065382","11242.5","руб.","99"
"НС-1065381","11992.5","руб.","99"
"НС-1065380","16492.5","руб.","99"
"НС-1065379","25117.5","руб.","99"
"НС-1065378","31492.5","руб.","99"
"НС-1065370","3747.5","руб.","99"
"НС-1065386","3997.5","руб.","99"
"НС-1065385","5497.5","руб.","99"
"НС-1065384","8372.5","руб.","99"
"НС-1065383","10497.5","руб.","99"
"НС-1010362","386.25","$","99"
"НС-1010363","397.5","$","99"
"НС-1010364","450","$","99"
"НС-1010365","697.5","$","99"
"НС-1010366","862.5","$","99"
"НС-1010330","386.25","$","99"
"НС-1010332","397.5","$","99"
"НС-1010333","450","$","99"
"НС-1010334","697.5","$","99"
"НС-1010335","862.5","$","99"
"НС-1010345","386.25","$","99"
"НС-1010346","397.5","$","99"
"НС-1010347","450","$","99"
"НС-1010348","697.5","$","99"
"НС-1010350","862.5","$","99"
"НС-0087511","224.25","$","99"
"НС-0087512","239.25","$","99"
"НС-0087513","291.75","$","99"
"НС-0087514","471.75","$","99"
"НС-0087506","591.75","$","99"
"НС-1010368","128.75","$","99"
"НС-1010369","132.5","$","99"
"НС-1010370","150","$","99"
"НС-1010371","232.5","$","99"
"НС-1010372","287.5","$","99"
"НС-1010336","128.75","$","99"
"НС-1010337","132.5","$","99"
"НС-1010338","150","$","99"
"НС-1010339","232.5","$","99"
"НС-1010340","287.5","$","99"
"НС-1010351","128.75","$","99"
"НС-1010353","132.5","$","99"
"НС-1010354","150","$","99"
"НС-1010355","232.5","$","99"
"НС-1010356","287.5","$","99"
"НС-0087505","74.75","$","99"
"НС-0087503","79.75","$","99"
"НС-0087507","97.25","$","99"
"НС-0087508","157.25","$","99"
"НС-0087510","197.25","$","99"
"НС-0024073","330","$","99"
"НС-0024074","341.3","$","99"
"НС-0024075","307.5","$","99"
"НС-0024076","350.25","$","99"
"НС-0024077","592.5","$","99"
"НС-0024078","768.8","$","99"
"НС-0024067","110","$","99"
"НС-0024068","93.25","$","99"
"НС-0024069","102.5","$","99"
"НС-0024070","116.75","$","99"
"НС-0024071","197.5","$","99"
"НС-0024072","256.3","$","99"
"НС-0079212","337.5","$","99"
"НС-0079215","356.25","$","99"
"НС-0079218","408.75","$","99"
"НС-0079221","615","$","99"
"НС-0079224","787.5","$","99"
"НС-0079211","112.5","$","99"
"НС-0079214","118.75","$","99"
"НС-0079217","136.25","$","99"
"НС-0079220","205","$","99"
"НС-0079223","262.5","$","99"
"НС-1014836","279.75","$","99"
"НС-1014839","307.5","$","99"
"НС-1014842","350.25","$","99"
"НС-1014835","93.25","$","99"
"НС-1014838","102.5","$","99"
"НС-1014841","116.75","$","99"
"НС-1019988","10867.5","руб.","99"
"НС-1019989","11617.5","руб.","99"
"НС-1019990","13867.5","руб.","99"
"НС-1019991","22117.5","руб.","99"
"НС-1019992","28117.5","руб.","99"
"НС-1019993","3622.5","руб.","99"
"НС-1019994","3872.5","руб.","99"
"НС-1019995","4622.5","руб.","99"
"НС-1019996","7372.5","руб.","99"
"НС-1019997","9372.5","руб.","99"
"НС-0077477","8175","руб.","99"
"НС-0077480","9225","руб.","99"
"НС-0077483","10800","руб.","99"
"НС-0077486","16050","руб.","99"
"НС-0077489","20513","руб.","99"
"НС-0077476","2725","руб.","99"
"НС-0077479","3075","руб.","99"
"НС-0077482","3600","руб.","99"
"НС-0077485","5350","руб.","99"
"НС-0077487","6838","руб.","99"
"ИНТ-22363","224.25","$","99"
"ИНТ-22364","239.25","$","99"
"ИНТ-22365","291.75","$","99"
"ИНТ-22366","471.75","$","99"
"ИНТ-22367","591.75","$","99"
"ИНТ-22368","60000","руб.","99"
"ИНТ-22369","74.75","$","99"
"ИНТ-22370","79.75","$","99"
"ИНТ-22371","97.25","$","99"
"ИНТ-22372","157.25","$","99"
"ИНТ-22373","197.25","$","99"
"ИНТ-22374","20000","руб.","99"
"ИНТ-22329","243.75","$","99"
"ИНТ-22331","258.75","$","99"
"ИНТ-22336","311.25","$","99"
"ИНТ-22333","487.5","$","99"
"ИНТ-22335","618.75","$","99"
"ИНТ-22332","81.25","$","99"
"ИНТ-22327","86.25","$","99"
"ИНТ-22328","103.75","$","99"
"ИНТ-22330","162.5","$","99"
"ИНТ-22334","206.25","$","99"
"ИНТ-22175","18200","руб.","99"
"ИНТ-22176","19500","руб.","99"
"ИНТ-22177","25100","руб.","99"
"ИНТ-22178","41500","руб.","99"
"ИНТ-22179","49900","руб.","99"
"ИНТ-22180","1200","$","99"
"ИНТ-22385","13650","руб.","99"
