url;price;currencyId;categoryId;picture;name;category1;category2;category3;category4;category5;category6;category7;Бренд;Холодопроизводительность (кВт);Теплопроизводительность (кВт);Тип Кондиционера;Артикул;Тип Блока;Тип Хладоагента;Инверторное управление;Класс Энергоэфективности: Охлаждение;Класс Энергоэфективности: Обогрев;Потребляемая мощность: Охлаждение (кВт);Потребляемая мощность: Обогрев (кВт);Рабочий Ток: Охлаждение (А);Рабочий Ток: Обогрев (А);Размер НЕТТО: Высота (мм);Размер НЕТТО: Ширина (мм);Размер НЕТТО: Глубина (мм);Вес НЕТТО (кг);Рабочий уровень шума (дБ);Источник питания;Размер соед. Труб: фаза - Жидкость;Размер соед. Труб: фаза - Газ;Допустимая уличная Температура: Охлаждение (°С);Допустимая уличная Температура: Обогрев (°С);Максимальная длина трассы (м);Максимальный перепад высот (м);Тип вн. Блока;Маркетинговые баллы;Наличие Пульта Управления
"http://b2b.optim-m.ru/catalog/samsung_boracay/ar09rsfhmwqner_vnutrenniy_blok_nastennogo_tipa_samsung/";"0";"RUR";"893";"http://pt.loc/image/providers/optim/picture/4dd/4dd06ff21bff8ea83eb83439520cc9bf.jpeg,http://pt.loc/image/providers/optim/picture/299/2995ba75fb1d21d2cce7476caf5b0657.jpeg,http://pt.loc/image/providers/optim/picture/ebe/ebe85479256f9495b4e10f48a106598b.jpeg,http://pt.loc/image/providers/optim/picture/156/1563ca7b3b3af5250cf6c6738a7ed25d.jpeg,http://pt.loc/image/providers/optim/picture/f7c/f7cfa3e3cf3214f74cb78a297e6c50de.jpeg";"AR09RSFHMWQNER внутренний блок настенного типа Samsung";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"SAMSUNG - BORACAY";"";"";"";"Samsung";"2.5";"3.2";"Бытовой-Сплит";"000021242";"Внутренний";"R410A";"Да";"A";"B";"0.78";"0.9";"3.9";"4.3";"285";"820";"227";"9";"56";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"9,52 (3/8)";"46";"-10";"15";"7";"Настенные";"50";"Да"
"http://b2b.optim-m.ru/catalog/samsung_boracay/ar09rsfhmwqxer_vneshniy_blok_samsung/";"0";"RUR";"893";"http://pt.loc/image/providers/optim/picture/bc7/bc7dfd696a9657940e2307d450fddad1.jpeg";"AR09RSFHMWQXER внешний блок Samsung";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"SAMSUNG - BORACAY";"";"";"";"Samsung";"2.5";"3.2";"Бытовой-Сплит";"000021256";"Наружный";"R410A";"Да";"A";"B";"0.78";"0.9";"3.9";"4.3";"475";"660";"242";"22.8";"56";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"9,52 (3/8)";"46";"-10";"15";"7";"Универсальный наружный блок";"50";""
"http://b2b.optim-m.ru/catalog/samsung_boracay/ar12rsfhmwqner_vnutrenniy_blok_nastennogo_tipa_samsung/";"0";"RUR";"893";"http://pt.loc/image/providers/optim/picture/9d8/9d80bd582a4c4e5f7bd5f538a33094ce.jpeg,http://pt.loc/image/providers/optim/picture/4d3/4d369655ce3c696f03876f4986d8c11a.jpeg,http://pt.loc/image/providers/optim/picture/9a7/9a773233ce60be9d5725349cd76f1231.jpeg,http://pt.loc/image/providers/optim/picture/637/637397f605f00dcb55d7dc6bd303158c.jpeg,http://pt.loc/image/providers/optim/picture/0cd/0cd75fb9ed0fa6141c8fbbd13de9727c.jpeg";"AR12RSFHMWQNER внутренний блок настенного типа Samsung";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"SAMSUNG - BORACAY";"";"";"";"Samsung";"3.3";"3.8";"Бытовой-Сплит";"000021243";"Внутренний";"R410A";"";"A";"B";"1.03";"1.12";"5";"5.2";"285";"820";"227";"8.7";"59";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"9,52 (3/8)";"46";"-10";"15";"7";"Настенные";"50";""
"http://b2b.optim-m.ru/catalog/samsung_boracay/ar12rsfhmwqxer_vneshniy_blok_samsung/";"0";"RUR";"893";"http://pt.loc/image/providers/optim/picture/b9a/b9a3b353e2bb5670aa99a21f93835f29.jpeg";"AR12RSFHMWQXER внешний блок Samsung";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"SAMSUNG - BORACAY";"";"";"";"Samsung";"3.3";"3.8";"Бытовой-Сплит";"000021257";"Наружный";"R410A";"";"A";"B";"1.03";"1.13";"5";"5.2";"548";"720";"265";"28.4";"56";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"9,52 (3/8)";"46";"-10";"15";"7";"Универсальный наружный блок";"50";""
"http://b2b.optim-m.ru/catalog/samsung_boracay/ar18rsfhmwqner_vnutrenniy_blok_nastennogo_tipa_samsung/";"0";"RUR";"893";"http://pt.loc/image/providers/optim/picture/f5c/f5cbaef4454f09de156ebfa7ef2bd860.jpeg,http://pt.loc/image/providers/optim/picture/8e8/8e8a5f74008064cb31ac51bb58825cf5.jpeg,http://pt.loc/image/providers/optim/picture/041/041e4e778b0000a6781bcc15876fdd40.jpeg,http://pt.loc/image/providers/optim/picture/4b8/4b8f18244d2d9b15bd439e79b2f99990.jpeg,http://pt.loc/image/providers/optim/picture/946/94619f64088c7413e1964f6c94af138f.jpeg";"AR18RSFHMWQNER внутренний блок настенного типа Samsung";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"SAMSUNG - BORACAY";"";"";"";"Samsung";"5";"6";"Бытовой-Сплит";"000021244";"Внутренний";"R410A";"Да";"A";"B";"1.39";"1.71";"6.8";"8";"298";"1065";"243";"11.6";"67";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"12,7 (1/2)";"46";"-15";"30";"15";"Настенные";"50";""
"http://b2b.optim-m.ru/catalog/samsung_boracay/ar18rsfhmwqxer_vneshniy_blok_samsung/";"0";"RUR";"893";"http://pt.loc/image/providers/optim/picture/860/860324c7c692354f44f41b094bd9145e.jpeg";"AR18RSFHMWQXER внешний блок Samsung";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"SAMSUNG - BORACAY";"";"";"";"Samsung";"5";"6";"Бытовой-Сплит";"000021258";"Наружный";"R410A";"";"A";"B";"1.39";"1.71";"6.8";"8";"638";"880";"310";"39.5";"67";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"12,7 (1/2)";"46";"-15";"30";"15";"Универсальный наружный блок";"50";""
"http://b2b.optim-m.ru/catalog/samsung_boracay/ar24rsfhmwqner_vnutrenniy_blok_nastennogo_tipa_samsung/";"0";"RUR";"893";"http://pt.loc/image/providers/optim/picture/852/8527323a3a1c9d2c070f6a7a4e244423.jpeg,http://pt.loc/image/providers/optim/picture/a00/a004550bf207d9d3818558c129c97467.jpeg,http://pt.loc/image/providers/optim/picture/f18/f1820b54217e30a64e827241f4736e40.jpeg,http://pt.loc/image/providers/optim/picture/453/453db675c6693cbed56050c666e1c120.jpeg,http://pt.loc/image/providers/optim/picture/256/2564bcdec0ce6674e72bc3f4773ca575.jpeg";"AR24RSFHMWQNER внутренний блок настенного типа Samsung";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"SAMSUNG - BORACAY";"";"";"";"Samsung";"6.45";"6.45";"Бытовой-Сплит";"000021245";"Внутренний";"R410A";"Да";"B";"B";"2.05";"1.89";"9.2";"8.5";"298";"1065";"243";"11.6";"69";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"15,88 (5/8)";"46";"-15";"30";"15";"Настенные";"50";""
"http://b2b.optim-m.ru/catalog/samsung_boracay/ar24rsfhmwqxer_vneshniy_blok_samsung/";"0";"RUR";"893";"http://pt.loc/image/providers/optim/picture/5ba/5bac8b838e4cc09eb6281548c1064641.jpeg";"AR24RSFHMWQXER внешний блок Samsung";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"SAMSUNG - BORACAY";"";"";"";"Samsung";"6.45";"6.45";"Бытовой-Сплит";"000021259";"Наружный";"R410A";"";"B";"B";"2.05";"1.89";"9.2";"8.5";"638";"880";"310";"42.4";"69";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"15,88 (5/8)";"46";"-15";"30";"15";"Универсальный наружный блок";"50";""
"http://b2b.optim-m.ru/catalog/luvh/38luvh026k_vneshniy_blok_tm_carrier/";"0";"RUR";"551";"http://pt.loc/image/providers/optim/picture/c73/c7396718fc85b31443233c2fb9a133c9.jpeg";"38LUVH026K Внешний блок ТМ CARRIER";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"LUVH";"";"";"Carrier";"2.6";"2.8";"Бытовой-Сплит";"000001316";"Наружный";"R410A";"Да";"A";"A";"0.69";"0.77";"";"";"590";"760";"285";"35.5";"52";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"9,52 (3/8)";"18";"-15";"10";"5";"";"50";""
"http://b2b.optim-m.ru/catalog/luvh/38luvh034k_vneshniy_blok_tm_carrier/";"0";"RUR";"551";"http://pt.loc/image/providers/optim/picture/a89/a899f5ed81ad01e4383be48b43a512fd.jpeg";"38LUVH034K Внешний блок ТМ CARRIER";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"LUVH";"";"";"Carrier";"3.5";"3.8";"Бытовой-Сплит";"000001322";"Наружный";"R410A";"Да";"A";"A";"0.93";"1.01";"";"";"590";"760";"285";"36";"53";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"12,7 (1/2)";"18";"-15";"10";"8";"";"50";""
