id,price,currency,qty
"НС-1037539","24490","руб.","1"
"НС-1037540","29490","руб.","1"
"НС-1063169","32490","руб.","1"
"НС-1063180","35490","руб.","1"
"НС-1121758","16990","руб.","1"
"НС-1121759","18990","руб.","1"
"НС-1121760","21990","руб.","1"
"НС-1124220","28790","руб.","1"
"НС-1124221","35990","руб.","1"
"НС-1124222","41990","руб.","1"
"НС-1018943","14350","руб.","1"
"НС-1018945","16350","руб.","1"
"НС-1121525","18900","руб.","1"
"НС-1121530","20900","руб.","1"
"НС-1121531","27000","руб.","1"
"НС-1121534","42500","руб.","1"
"НС-1121535","54000","руб.","1"
"НС-1122601","16900","руб.","1"
"НС-1122602","18500","руб.","1"
"НС-1122604","23900","руб.","1"
"НС-1122608","38900","руб.","1"
"НС-1122611","48900","руб.","1"
"НС-1122612","66500","руб.","1"
"ИНТ-22368","60000","руб.","1"
"ИНТ-22374","20000","руб.","1"
"ИНТ-22175","16400","руб.","1"
"ИНТ-22176","17550","руб.","1"
"ИНТ-22177","22600","руб.","1"
"ИНТ-22178","37350","руб.","1"
"ИНТ-22179","44900","руб.","1"
"ИНТ-22385","12300","руб.","1"
"ИНТ-22386","13162","руб.","1"
"ИНТ-22387","16950","руб.","1"
"ИНТ-22388","28012","руб.","1"
"ИНТ-22389","33675","руб.","1"
"ИНТ-22391","4100","руб.","1"
"ИНТ-22392","4388","руб.","1"
"ИНТ-22393","5650","руб.","1"
"ИНТ-22394","9338","руб.","1"
"ИНТ-22395","11225","руб.","1"
"НС-1116949","33000","руб.","1"
"НС-1116982","35000","руб.","1"
"НС-1116961","36700","руб.","1"
"НС-1116988","38000","руб.","1"
"НС-1116964","58000","руб.","1"
"НС-1116972","70500","руб.","1"
"НС-1116970","24500","руб.","1"
"НС-1117014","64500","руб.","1"
"НС-1121112","38000","руб.","1"
"НС-1121113","40000","руб.","1"
"НС-1121114","59000","руб.","1"
"НС-1121116","72500","руб.","1"
"НС-1065355","20625","руб.","1"
"НС-1065356","23175","руб.","1"
"НС-1065363","40875","руб.","1"
"НС-1065390","50175","руб.","1"
"НС-1088194","6375","руб.","1"
"НС-1065351","6875","руб.","1"
"НС-1065352","7725","руб.","1"
"НС-1065353","13625","руб.","1"
"НС-1065354","16725","руб.","1"
"НС-1088196","25500","руб.","1"
"НС-1088209","64500","руб.","1"
"НС-1088210","69000","руб.","1"
"НС-1088211","91000","руб.","1"
"НС-1088213","104000","руб.","1"
"НС-1088214","118000","руб.","1"
"НС-1067687","140000","руб.","1"
"НС-1088231","12250","руб.","1"
"НС-1088232","12650","руб.","1"
"НС-1088234","13100","руб.","1"
"НС-1088237","14900","руб.","1"
"НС-1088217","27000","руб.","1"
"НС-1088218","29700","руб.","1"
"НС-1088219","30600","руб.","1"
"НС-1088220","26500","руб.","1"
"НС-1088223","29200","руб.","1"
"НС-1088202","79000","руб.","1"
"НС-1088205","149000","руб.","1"
"НС-1088208","165000","руб.","1"
"НС-1038526","60925","руб.","1"
"НС-1038527","78800","руб.","1"
"НС-1038529","109200","руб.","1"
"НС-1038530","127100","руб.","1"
"НС-1038528","139650","руб.","1"
"ИНТ-22229","23500","руб.","1"
"ИНТ-22230","30500","руб.","1"
"ИНТ-22231","33600","руб.","1"
"ИНТ-22232","34700","руб.","1"
"ИНТ-22233","37800","руб.","1"
"НС-1121313","83000","руб.","1"
"НС-1121315","113400","руб.","1"
"НС-1121319","131300","руб.","1"
"НС-1036138","59900","руб.","1"
"НС-1036139","65100","руб.","1"
"НС-1036140","83000","руб.","1"
"НС-1036141","113400","руб.","1"
"НС-1036142","131300","руб.","1"
"НС-1036143","143900","руб.","1"
"ИНТ-22234","24175","руб.","1"
"ИНТ-22235","26225","руб.","1"
"ИНТ-22236","31300","руб.","1"
"ИНТ-22237","34400","руб.","1"
"ИНТ-22238","35500","руб.","1"
"ИНТ-22239","38650","руб.","1"
"ИНТ-22240","2650","руб.","1"
"ИНТ-22241","3400","руб.","1"
"НС-1036062","640.5","$","1"
"НС-1036063","651","$","1"
"НС-1036064","48300","руб.","1"
"НС-1036065","75600","руб.","1"
"НС-1036066","92400","руб.","1"
"НС-1036067","101850","руб.","1"
"НС-1008103","6600","руб.","1"
"НС-1122329","22490","руб.","1"
"НС-1122330","25490","руб.","1"
"НС-1122250","19490","руб.","1"
"НС-1092613","23490","руб.","1"
"НС-1092616","27490","руб.","1"
"НС-1122254","32490","руб.","1"
"НС-1122325","24990","руб.","1"
"НС-1122327","29990","руб.","1"
"НС-1018634","383.25","$","1"
"НС-1018635","446.25","$","1"
"НС-0077210","483","$","1"
"НС-1065245","18900","руб.","1"
"НС-1065198","20900","руб.","1"
"НС-1065197","26000","руб.","1"
"НС-1087996","13425","руб.","1"
"НС-1087997","14925","руб.","1"
"НС-1087999","17925","руб.","1"
"НС-1088000","28425","руб.","1"
"НС-1088001","35175","руб.","1"
"НС-1087991","4475","руб.","1"
"НС-1087992","4975","руб.","1"
"НС-1087993","5975","руб.","1"
"НС-1087994","9475","руб.","1"
"НС-1087995","11725","руб.","1"
"НС-1088004","17900","руб.","1"
"НС-1088005","19900","руб.","1"
"НС-1088008","23900","руб.","1"
"НС-1088009","37900","руб.","1"
"НС-1088011","46900","руб.","1"
"НС-1087766","13042","руб.","1"
"НС-1087769","14242","руб.","1"
"НС-1087772","17767","руб.","1"
"НС-1087767","4348","руб.","1"
"НС-1087770","4748","руб.","1"
"НС-1087773","5923","руб.","1"
"НС-1087768","17390","руб.","1"
"НС-1087771","18990","руб.","1"
"НС-1087774","23690","руб.","1"
"НС-1104139","78800","руб.","1"
"НС-1104141","82500","руб.","1"
"НС-1104143","92500","руб.","1"
"НС-1104146","113400","руб.","1"
"НС-1088901","37990","руб.","1"
"НС-1088900","34990","руб.","1"
"НС-1088868","33990","руб.","1"
"НС-1088867","22500","руб.","1"
"НС-1088866","17300","руб.","1"
"НС-1088865","13990","руб.","1"
"НС-1088864","13400","руб.","1"
"НС-1088889","31500","руб.","1"
"НС-1088893","34990","руб.","1"
"НС-1088896","41990","руб.","1"
"НС-1088879","25000","руб.","1"
"НС-1088880","28490","руб.","1"
"НС-1088881","30490","руб.","1"
"НС-1088883","6500","руб.","1"
"НС-1088885","11500","руб.","1"
"НС-1088902","44990","руб.","1"
"НС-1088791","64990","руб.","1"
"НС-1088829","71990","руб.","1"
"НС-1088831","95990","руб.","1"
"НС-1088833","107990","руб.","1"
"НС-1088837","149990","руб.","1"
"НС-1088841","164800","руб.","1"
"НС-1088842","222700","руб.","1"
"НС-1088843","249400","руб.","1"
"НС-1090888","19600","руб.","1"
"НС-1090889","25800","руб.","1"
"НС-1088870","24990","руб.","1"
"НС-1088872","26990","руб.","1"
"НС-1088874","31990","руб.","1"
"НС-1088876","36990","руб.","1"
"НС-1088928","99000","руб.","1"
"НС-1088929","175000","руб.","1"
"НС-1088930","210000","руб.","1"
"НС-1038760","70800","руб.","1"
"НС-1038761","94600","руб.","1"
"НС-1038762","127000","руб.","1"
"НС-1038763","149000","руб.","1"
"НС-1038764","162000","руб.","1"
"ИНТ-22307","34000","руб.","1"
"ИНТ-22306","42000","руб.","1"
"ИНТ-22308","45300","руб.","1"
"ИНТ-22304","50000","руб.","1"
"ИНТ-22305","54000","руб.","1"
"ИНТ-22310","25500","руб.","1"
"ИНТ-22312","28500","руб.","1"
"ИНТ-22315","31900","руб.","1"
"ИНТ-22314","35800","руб.","1"
"ИНТ-22316","40000","руб.","1"
"ИНТ-22313","45000","руб.","1"
"ИНТ-22311","7000","руб.","1"
"ИНТ-22309","12000","руб.","1"
"ИНТ-22300","52600","руб.","1"
"ИНТ-22303","80600","руб.","1"
"ИНТ-22299","99000","руб.","1"
"ИНТ-22302","108000","руб.","1"
"НС-1063157","20990","руб.","1"
"НС-1063158","23990","руб.","1"
"НС-1108889","18900","руб.","1"
"НС-1108890","20900","руб.","1"
"НС-1108891","26900","руб.","1"
"НС-1108892","42900","руб.","1"
"НС-1108893","53500","руб.","1"
"НС-1108880","14175","руб.","1"
"НС-1108882","15675","руб.","1"
"НС-1108883","20175","руб.","1"
"НС-1108884","32175","руб.","1"
"НС-1108885","40125","руб.","1"
"НС-1108874","4725","руб.","1"
"НС-1108876","5225","руб.","1"
"НС-1108877","6725","руб.","1"
"НС-1108878","10725","руб.","1"
"НС-1108879","13375","руб.","1"
"НС-1121276","21900","руб.","1"
"НС-1121278","23500","руб.","1"
"НС-1121279","29500","руб.","1"
